,Comments_youtube,Label,COMMENTS_YOUTUBE,TOKENIZATION,STOP_REMOVAL,STEMMING
262,orang ini aja belum pada bener nerapin protokol kesehatan malah mau tatap muka lagi pertimbangkan lagi pak kesehatan itu mahal,negatif,orang ini aja belum pada bener nerapin protokol kesehatan malah mau tatap muka lagi pertimbangkan lagi pak kesehatan itu mahal,"['orang', 'ini', 'aja', 'belum', 'pada', 'bener', 'nerapin', 'protokol', 'kesehatan', 'malah', 'mau', 'tatap', 'muka', 'lagi', 'pertimbangkan', 'lagi', 'pak', 'kesehatan', 'itu', 'mahal']",orang aja bener nerapin protokol kesehatan tatap muka pertimbangkan kesehatan mahal,orang aja bener nerapin protokol sehat tatap muka timbang sehat mahal
263,masih kondisi covid tinggi begini kok diperbolehkan di buka pak nadhim ,negatif,masih kondisi covid tinggi begini kok diperbolehkan di buka pak nadhim ,"['masih', 'kondisi', 'covid', 'tinggi', 'begini', 'kok', 'diperbolehkan', 'di', 'buka', 'pak', 'nadhim', '']",kondisi covid diperbolehkan buka nadhim ,kondisi covid boleh buka nadhim
264,kurang setuju menantang alam jelas kasus covid makin hari makin naik ini disebabkan juga onta onta lepas dari kandang akhirnya corona naik lagi,negatif,kurang setuju menantang alam jelas kasus covid makin hari makin naik ini disebabkan juga onta onta lepas dari kandang akhirnya corona naik lagi,"['kurang', 'setuju', 'menantang', 'alam', 'jelas', 'kasus', 'covid', 'makin', 'hari', 'makin', 'naik', 'ini', 'disebabkan', 'juga', 'onta', 'onta', 'lepas', 'dari', 'kandang', 'akhirnya', 'corona', 'naik', 'lagi']",setuju menantang alam covid disebabkan onta onta lepas kandang corona,tuju tantang alam covid sebab onta onta lepas kandang corona
265,saya orang bodoh saya hanya ingin berpendapat sedikit kalo memang sudah aman sekolah dibuka tanpa ada protokol izin murid murid ini dijadikan kelinci percobaan ya ,negatif,saya orang bodoh saya hanya ingin berpendapat sedikit kalo memang sudah aman sekolah dibuka tanpa ada protokol izin murid murid ini dijadikan kelinci percobaan ya ,"['saya', 'orang', 'bodoh', 'saya', 'hanya', 'ingin', 'berpendapat', 'sedikit', 'kalo', 'memang', 'sudah', 'aman', 'sekolah', 'dibuka', 'tanpa', 'ada', 'protokol', 'izin', 'murid', 'murid', 'ini', 'dijadikan', 'kelinci', 'percobaan', 'ya', '']",orang bodoh berpendapat kalo aman sekolah dibuka protokol izin murid murid dijadikan kelinci percobaan ya ,orang bodoh dapat kalo aman sekolah buka protokol izin murid murid jadi kelinci coba ya
266,gk stuju gw tanggung dikit lgi lulus,negatif,gk stuju gw tanggung dikit lgi lulus,"['gk', 'stuju', 'gw', 'tanggung', 'dikit', 'lgi', 'lulus']",gk stuju gw tanggung dikit lgi lulus,gk stuju gw tanggung dikit lgi lulus
267,ya saya sih setuju ndak setuju karena dari masing2 keputusan pasti dampak negatifnya tapi menurut pendapat pribadi saya untuk membuka sekolah tatap muka pada tahun ajaran baru karena masih belum jelas tentang vaksin yang masih di uji coba dan masih ada banyak para siswa siswi yang lalay mungkin kalau ada yang bertentangan dengan pendapat saya atau pun setuju silahkan koment ,negatif,ya saya sih setuju ndak setuju karena dari masing2 keputusan pasti dampak negatifnya tapi menurut pendapat pribadi saya untuk membuka sekolah tatap muka pada tahun ajaran baru karena masih belum jelas tentang vaksin yang masih di uji coba dan masih ada banyak para siswa siswi yang lalay mungkin kalau ada yang bertentangan dengan pendapat saya atau pun setuju silahkan koment ,"['ya', 'saya', 'sih', 'setuju', 'ndak', 'setuju', 'karena', 'dari', 'masing2', 'keputusan', 'pasti', 'dampak', 'negatifnya', 'tapi', 'menurut', 'pendapat', 'pribadi', 'saya', 'untuk', 'membuka', 'sekolah', 'tatap', 'muka', 'pada', 'tahun', 'ajaran', 'baru', 'karena', 'masih', 'belum', 'jelas', 'tentang', 'vaksin', 'yang', 'masih', 'di', 'uji', 'coba', 'dan', 'masih', 'ada', 'banyak', 'para', 'siswa', 'siswi', 'yang', 'lalay', 'mungkin', 'kalau', 'ada', 'yang', 'bertentangan', 'dengan', 'pendapat', 'saya', 'atau', 'pun', 'setuju', 'silahkan', 'koment', '']",ya sih setuju ndak setuju masing2 keputusan dampak negatifnya pendapat pribadi membuka sekolah tatap muka ajaran vaksin uji coba siswa siswi lalay bertentangan pendapat setuju silahkan koment ,ya sih tuju ndak tuju masing2 putus dampak negatif dapat pribadi buka sekolah tatap muka ajar vaksin uji coba siswa siswi lalay tentang dapat tuju silah koment
268,gk usah sekolah wes pak biar pada bloon main hp terus,positif,gk usah sekolah wes pak biar pada bloon main hp terus,"['gk', 'usah', 'sekolah', 'wes', 'pak', 'biar', 'pada', 'bloon', 'main', 'hp', 'terus']",gk sekolah wes biar bloon main hp,gk sekolah wes biar bloon main hp
269,semoga aja sih dibuka lagi itu mall bisa buka kenapa tempat buat belajar engga iya tau pasti banyak pertimbangan juga ttg keamanan anak disekolah semasa pandemi coba aja terapin buka sekolah tapi digilir pake nomor absen ganti2an ,positif,semoga aja sih dibuka lagi itu mall bisa buka kenapa tempat buat belajar engga iya tau pasti banyak pertimbangan juga ttg keamanan anak disekolah semasa pandemi coba aja terapin buka sekolah tapi digilir pake nomor absen ganti2an ,"['semoga', 'aja', 'sih', 'dibuka', 'lagi', 'itu', 'mall', 'bisa', 'buka', 'kenapa', 'tempat', 'buat', 'belajar', 'engga', 'iya', 'tau', 'pasti', 'banyak', 'pertimbangan', 'juga', 'ttg', 'keamanan', 'anak', 'disekolah', 'semasa', 'pandemi', 'coba', 'aja', 'terapin', 'buka', 'sekolah', 'tapi', 'digilir', 'pake', 'nomor', 'absen', 'ganti2an', '']",semoga aja sih dibuka mall buka belajar engga iya tau pertimbangan ttg keamanan anak disekolah pandemi coba aja terapin buka sekolah digilir pake nomor absen ganti2an ,moga aja sih buka mall buka ajar engga iya tau timbang ttg aman anak seko pandemi coba aja terapin buka sekolah gilir pake nomor absen ganti2an
270,saya belum siap pak baju saya gk muat,negatif,saya belum siap pak baju saya gk muat,"['saya', 'belum', 'siap', 'pak', 'baju', 'saya', 'gk', 'muat']",baju gk muat,baju gk muat
271, knapa baru 2021 sedangkan korban trus bertambah trus alasan dulu dilockdown krn apa kam krn banyak korban apakah krn proyek globalnya penguasa dunia sudh merestui untuk beraktifitas ,positif, knapa baru 2021 sedangkan korban trus bertambah trus alasan dulu dilockdown krn apa kam krn banyak korban apakah krn proyek globalnya penguasa dunia sudh merestui untuk beraktifitas ,"['', 'knapa', 'baru', '2021', 'sedangkan', 'korban', 'trus', 'bertambah', 'trus', 'alasan', 'dulu', 'dilockdown', 'krn', 'apa', 'kam', 'krn', 'banyak', 'korban', 'apakah', 'krn', 'proyek', 'globalnya', 'penguasa', 'dunia', 'sudh', 'merestui', 'untuk', 'beraktifitas', '']", knapa 2021 korban trus bertambah trus alasan dilockdown krn kam krn korban krn proyek globalnya penguasa dunia sudh merestui beraktifitas ,knapa 2021 korban trus tambah trus alas dilockdown krn kam krn korban krn proyek global kuasa dunia sudh restu beraktifitas
272,mending daring lhhh gw dh mau ujian mls duit mulu nanggung tinggal 1 semester lagi ,negatif,mending daring lhhh gw dh mau ujian mls duit mulu nanggung tinggal 1 semester lagi ,"['mending', 'daring', 'lhhh', 'gw', 'dh', 'mau', 'ujian', 'mls', 'duit', 'mulu', 'nanggung', 'tinggal', '1', 'semester', 'lagi', '']",mending daring lhhh gw dh ujian mls duit mulu nanggung tinggal 1 semester ,mending daring lhhh gw dh uji mls duit mulu nanggung tinggal 1 semester
273,ga nunggu vaksin dulu pak yg katanya sebentar lagi udah siap ,negatif,ga nunggu vaksin dulu pak yg katanya sebentar lagi udah siap ,"['ga', 'nunggu', 'vaksin', 'dulu', 'pak', 'yg', 'katanya', 'sebentar', 'lagi', 'udah', 'siap', '']",ga nunggu vaksin yg sebentar udah ,ga nunggu vaksin yg sebentar udah
274,buka aja pak saya udah pusing belajar di rumah,positif,buka aja pak saya udah pusing belajar di rumah,"['buka', 'aja', 'pak', 'saya', 'udah', 'pusing', 'belajar', 'di', 'rumah']",buka aja udah pusing belajar rumah,buka aja udah pusing ajar rumah
275,menurut saya harus di pertimbangkan lagi takutnya nnti sekolah jadi klaster baru penularan covid,negatif,menurut saya harus di pertimbangkan lagi takutnya nnti sekolah jadi klaster baru penularan covid,"['menurut', 'saya', 'harus', 'di', 'pertimbangkan', 'lagi', 'takutnya', 'nnti', 'sekolah', 'jadi', 'klaster', 'baru', 'penularan', 'covid']",pertimbangkan takutnya nnti sekolah klaster penularan covid,timbang takut nnti sekolah klaster tular covid
276,gw pengen sekolah sumpah valid titik no debat no kecoddddd sekolah di smp belum puass woiii ,positif,gw pengen sekolah sumpah valid titik no debat no kecoddddd sekolah di smp belum puass woiii ,"['gw', 'pengen', 'sekolah', 'sumpah', 'valid', 'titik', 'no', 'debat', 'no', 'kecoddddd', 'sekolah', 'di', 'smp', 'belum', 'puass', 'woiii', '']",gw pengen sekolah sumpah valid titik no debat no kecoddddd sekolah smp puass woiii ,gw ken sekolah sumpah valid titik no debat no kecoddddd sekolah smp puass woiii
277,mantap pusing belajar online kgk ada yg masuk di otak,positif,mantap pusing belajar online kgk ada yg masuk di otak,"['mantap', 'pusing', 'belajar', 'online', 'kgk', 'ada', 'yg', 'masuk', 'di', 'otak']",mantap pusing belajar online kgk yg masuk otak,mantap pusing ajar online kgk yg masuk otak
278,pendapat saya kurang setuju pak ,negatif,pendapat saya kurang setuju pak ,"['pendapat', 'saya', 'kurang', 'setuju', 'pak', '']",pendapat setuju ,dapat tuju
279,sebenarnya memang lebih baik tatap muka jika konteks nya sekolah dan pembelajaran saya sangat setuju jika konteks nya itu tetapi masalahnya sekarang itu covid nya walaupun sudah ada protokol dan segala macam kan kita tidak tau kenyataaan nya di sekolah anak sd smp sma kalo udah ketemu temen udah ga peduli nyentuh nyentuh ini yang di takutkan bukannya menentang tetapi tolong lah pertimbangkan realita yg akan terjadi ,positif,sebenarnya memang lebih baik tatap muka jika konteks nya sekolah dan pembelajaran saya sangat setuju jika konteks nya itu tetapi masalahnya sekarang itu covid nya walaupun sudah ada protokol dan segala macam kan kita tidak tau kenyataaan nya di sekolah anak sd smp sma kalo udah ketemu temen udah ga peduli nyentuh nyentuh ini yang di takutkan bukannya menentang tetapi tolong lah pertimbangkan realita yg akan terjadi ,"['sebenarnya', 'memang', 'lebih', 'baik', 'tatap', 'muka', 'jika', 'konteks', 'nya', 'sekolah', 'dan', 'pembelajaran', 'saya', 'sangat', 'setuju', 'jika', 'konteks', 'nya', 'itu', 'tetapi', 'masalahnya', 'sekarang', 'itu', 'covid', 'nya', 'walaupun', 'sudah', 'ada', 'protokol', 'dan', 'segala', 'macam', 'kan', 'kita', 'tidak', 'tau', 'kenyataaan', 'nya', 'di', 'sekolah', 'anak', 'sd', 'smp', 'sma', 'kalo', 'udah', 'ketemu', 'temen', 'udah', 'ga', 'peduli', 'nyentuh', 'nyentuh', 'ini', 'yang', 'di', 'takutkan', 'bukannya', 'menentang', 'tetapi', 'tolong', 'lah', 'pertimbangkan', 'realita', 'yg', 'akan', 'terjadi', '']",tatap muka konteks nya sekolah pembelajaran setuju konteks nya covid nya protokol tau kenyataaan nya sekolah anak sd smp sma kalo udah ketemu temen udah ga peduli nyentuh nyentuh takutkan menentang tolong pertimbangkan realita yg ,tatap muka konteks nya sekolah ajar tuju konteks nya covid nya protokol tau kenyataaan nya sekolah anak sd smp sma kalo udah ketemu temen udah ga peduli nyentuh nyentuh takut tentang tolong timbang realita yg
280,saya masih khawatir p nadiem ,negatif,saya masih khawatir p nadiem ,"['saya', 'masih', 'khawatir', 'p', 'nadiem', '']",khawatir p nadiem ,khawatir p nadiem
281,mending online pak dari pada tatap muka ,negatif,mending online pak dari pada tatap muka ,"['mending', 'online', 'pak', 'dari', 'pada', 'tatap', 'muka', '']",mending online tatap muka ,mending online tatap muka
282,alhamdulillah generasi penerus bangsa harus lanjut sekolah ,positif,alhamdulillah generasi penerus bangsa harus lanjut sekolah ,"['alhamdulillah', 'generasi', 'penerus', 'bangsa', 'harus', 'lanjut', 'sekolah', '']",alhamdulillah generasi penerus bangsa sekolah ,alhamdulillah generasi terus bangsa sekolah
283,tolak saya cinta daring ,negatif,tolak saya cinta daring ,"['tolak', 'saya', 'cinta', 'daring', '']",tolak cinta daring ,tolak cinta daring
284,agak ga setuju sih karna kondisi masih begini bahkan didaerah yang udah membaik pun masih ada resiko tertularnya kasihan dong anak sampai dg remaja sama bisa terancam orang tua pasti juga ngga stuju ,negatif,agak ga setuju sih karna kondisi masih begini bahkan didaerah yang udah membaik pun masih ada resiko tertularnya kasihan dong anak sampai dg remaja sama bisa terancam orang tua pasti juga ngga stuju ,"['agak', 'ga', 'setuju', 'sih', 'karna', 'kondisi', 'masih', 'begini', 'bahkan', 'didaerah', 'yang', 'udah', 'membaik', 'pun', 'masih', 'ada', 'resiko', 'tertularnya', 'kasihan', 'dong', 'anak', 'sampai', 'dg', 'remaja', 'sama', 'bisa', 'terancam', 'orang', 'tua', 'pasti', 'juga', 'ngga', 'stuju', '']",ga setuju sih karna kondisi didaerah udah membaik resiko tertularnya kasihan anak dg remaja terancam orang tua ngga stuju ,ga tuju sih karna kondisi daerah udah baik resiko tular kasihan anak dg remaja ancam orang tua ngga stuju
285,kalau covid ada kemaren yg demo omnis dah pada modaaar yach ,positif,kalau covid ada kemaren yg demo omnis dah pada modaaar yach ,"['kalau', 'covid', 'ada', 'kemaren', 'yg', 'demo', 'omnis', 'dah', 'pada', 'modaaar', 'yach', '']",covid kemaren yg demo omnis dah modaaar yach ,covid kemaren yg demo omnis dah modaaar yach
286,alhamdulillah terimakasih banyak sekolah tatap muka lagi tapi tetap pake masker dan protokol covid bimbel anak juga udh tatap muka alhamdulillah lancar ,positif,alhamdulillah terimakasih banyak sekolah tatap muka lagi tapi tetap pake masker dan protokol covid bimbel anak juga udh tatap muka alhamdulillah lancar ,"['alhamdulillah', 'terimakasih', 'banyak', 'sekolah', 'tatap', 'muka', 'lagi', 'tapi', 'tetap', 'pake', 'masker', 'dan', 'protokol', 'covid', 'bimbel', 'anak', 'juga', 'udh', 'tatap', 'muka', 'alhamdulillah', 'lancar', '']",alhamdulillah terimakasih sekolah tatap muka pake masker protokol covid bimbel anak udh tatap muka alhamdulillah lancar ,alhamdulillah terimakasih sekolah tatap muka pake masker protokol covid bimbel anak udh tatap muka alhamdulillah lancar
287,semoga sekolah cpt di buka amin,positif,semoga sekolah cpt di buka amin,"['semoga', 'sekolah', 'cpt', 'di', 'buka', 'amin']",semoga sekolah cpt buka amin,moga sekolah cpt buka amin
288,akhirnya sekolah juga,positif,akhirnya sekolah juga,"['akhirnya', 'sekolah', 'juga']",sekolah,sekolah
289,di rumah mulu juga capek pak pengen sekolah lagi,positif,di rumah mulu juga capek pak pengen sekolah lagi,"['di', 'rumah', 'mulu', 'juga', 'capek', 'pak', 'pengen', 'sekolah', 'lagi']",rumah mulu capek pengen sekolah,rumah mulu capek ken sekolah
290,seharusnya pendidikan di indonesia harus maju seperti pendidikan di finlandia sejak bu li anderson sebagai menteri pendidikan finlandia lebih tegas dan berani pendidikan terjamin di finlandia,negatif,seharusnya pendidikan di indonesia harus maju seperti pendidikan di finlandia sejak bu li anderson sebagai menteri pendidikan finlandia lebih tegas dan berani pendidikan terjamin di finlandia,"['seharusnya', 'pendidikan', 'di', 'indonesia', 'harus', 'maju', 'seperti', 'pendidikan', 'di', 'finlandia', 'sejak', 'bu', 'li', 'anderson', 'sebagai', 'menteri', 'pendidikan', 'finlandia', 'lebih', 'tegas', 'dan', 'berani', 'pendidikan', 'terjamin', 'di', 'finlandia']",pendidikan indonesia maju pendidikan finlandia bu li anderson menteri pendidikan finlandia berani pendidikan terjamin finlandia,didik indonesia maju didik finlandia bu li anderson menteri didik finlandia berani didik jamin finlandia
291,hidup sekolah tatap muka ,positif,hidup sekolah tatap muka ,"['hidup', 'sekolah', 'tatap', 'muka', '']",hidup sekolah tatap muka ,hidup sekolah tatap muka
292,pak pulang sekolah jangan lah jam 3 pak deman2 aku gara2 pulang terlalu lama pak pusing otak aku jadi nya pak,negatif,pak pulang sekolah jangan lah jam 3 pak deman2 aku gara2 pulang terlalu lama pak pusing otak aku jadi nya pak,"['pak', 'pulang', 'sekolah', 'jangan', 'lah', 'jam', '3', 'pak', 'deman2', 'aku', 'gara2', 'pulang', 'terlalu', 'lama', 'pak', 'pusing', 'otak', 'aku', 'jadi', 'nya', 'pak']",pulang sekolah jam 3 deman2 gara2 pulang pusing otak nya,pulang sekolah jam 3 deman2 gara2 pulang pusing otak nya
293,cari info tanggal sklh masuk sekolah untuk belajar masuk sekolah untuk cari uang jajan ,positif,cari info tanggal sklh masuk sekolah untuk belajar masuk sekolah untuk cari uang jajan ,"['cari', 'info', 'tanggal', 'sklh', 'masuk', 'sekolah', 'untuk', 'belajar', 'masuk', 'sekolah', 'untuk', 'cari', 'uang', 'jajan', '']",cari info tanggal sklh masuk sekolah belajar masuk sekolah cari uang jajan ,cari info tanggal sklh masuk sekolah ajar masuk sekolah cari uang jajan
294,yaa ini hanya diperbolehkan bukan diwajibkan jadi kputusan mutlak ada pda ortu murid jika ortu murid tdk menyetujui itu sah sah saja karena ini menyangkut pda kesehatan murid tersebut anak daripada orang tua murid tersebut ,negatif,yaa ini hanya diperbolehkan bukan diwajibkan jadi kputusan mutlak ada pda ortu murid jika ortu murid tdk menyetujui itu sah sah saja karena ini menyangkut pda kesehatan murid tersebut anak daripada orang tua murid tersebut ,"['yaa', 'ini', 'hanya', 'diperbolehkan', 'bukan', 'diwajibkan', 'jadi', 'kputusan', 'mutlak', 'ada', 'pda', 'ortu', 'murid', 'jika', 'ortu', 'murid', 'tdk', 'menyetujui', 'itu', 'sah', 'sah', 'saja', 'karena', 'ini', 'menyangkut', 'pda', 'kesehatan', 'murid', 'tersebut', 'anak', 'daripada', 'orang', 'tua', 'murid', 'tersebut', '']",yaa diperbolehkan diwajibkan kputusan mutlak pda ortu murid ortu murid tdk menyetujui sah sah pda kesehatan murid anak orang tua murid ,yaa boleh wajib kputusan mutlak pda ortu murid ortu murid tdk tuju sah sah pda sehat murid anak orang tua murid
295,jangan tatap muka pak udah terlanjur suka dirumah pkl gak jadi semua diundur dah gak usah buka sekolah ,negatif,jangan tatap muka pak udah terlanjur suka dirumah pkl gak jadi semua diundur dah gak usah buka sekolah ,"['jangan', 'tatap', 'muka', 'pak', 'udah', 'terlanjur', 'suka', 'dirumah', 'pkl', 'gak', 'jadi', 'semua', 'diundur', 'dah', 'gak', 'usah', 'buka', 'sekolah', '']",tatap muka udah terlanjur suka dirumah pkl gak diundur dah gak buka sekolah ,tatap muka udah lanjur suka rumah pkl gak undur dah gak buka sekolah
296,lanjutkan belajar dr rumahlah ,negatif,lanjutkan belajar dr rumahlah ,"['lanjutkan', 'belajar', 'dr', 'rumahlah', '']",lanjutkan belajar dr rumahlah ,lanjut ajar dr rumah
297,anak anak terlalu lama di rumah yang akhirnya bereinkarnasi menjadi iblis iblis perusak pagar mobil yang diparkir corat coret tembok pokoknya sudah tidak ada sisi positifnya lagi buat kegaduhan setiap hari sejak pagi buta sampai hampir malam masih main saja kerjanya pemerintah tolong lah dgn kondisi yang sudah sangat akut seperti ini ,positif,anak anak terlalu lama di rumah yang akhirnya bereinkarnasi menjadi iblis iblis perusak pagar mobil yang diparkir corat coret tembok pokoknya sudah tidak ada sisi positifnya lagi buat kegaduhan setiap hari sejak pagi buta sampai hampir malam masih main saja kerjanya pemerintah tolong lah dgn kondisi yang sudah sangat akut seperti ini ,"['anak', 'anak', 'terlalu', 'lama', 'di', 'rumah', 'yang', 'akhirnya', 'bereinkarnasi', 'menjadi', 'iblis', 'iblis', 'perusak', 'pagar', 'mobil', 'yang', 'diparkir', 'corat', 'coret', 'tembok', 'pokoknya', 'sudah', 'tidak', 'ada', 'sisi', 'positifnya', 'lagi', 'buat', 'kegaduhan', 'setiap', 'hari', 'sejak', 'pagi', 'buta', 'sampai', 'hampir', 'malam', 'masih', 'main', 'saja', 'kerjanya', 'pemerintah', 'tolong', 'lah', 'dgn', 'kondisi', 'yang', 'sudah', 'sangat', 'akut', 'seperti', 'ini', '']",anak anak rumah bereinkarnasi iblis iblis perusak pagar mobil diparkir corat coret tembok pokoknya sisi positifnya kegaduhan pagi buta malam main kerjanya pemerintah tolong dgn kondisi akut ,anak anak rumah reinkarnasi iblis iblis usak pagar mobil parkir corat coret tembok pokok sisi positif gaduh pagi buta malam main kerja perintah tolong dgn kondisi akut
298,jgn dl pak menteri klo tatap muka msh bahaya pak mendikbud kasian anak2 ,negatif,jgn dl pak menteri klo tatap muka msh bahaya pak mendikbud kasian anak2 ,"['jgn', 'dl', 'pak', 'menteri', 'klo', 'tatap', 'muka', 'msh', 'bahaya', 'pak', 'mendikbud', 'kasian', 'anak2', '']",jgn dl menteri klo tatap muka msh bahaya mendikbud kasian anak2 ,jgn dl menteri klo tatap muka msh bahaya mendikbud kasi anak2
300,tanggung 1 semester lagi lah,negatif,tanggung 1 semester lagi lah,"['tanggung', '1', 'semester', 'lagi', 'lah']",tanggung 1 semester,tanggung 1 semester
301,daring malah keluyuran mending sekolah lagi lah,positif,daring malah keluyuran mending sekolah lagi lah,"['daring', 'malah', 'keluyuran', 'mending', 'sekolah', 'lagi', 'lah']",daring keluyuran mending sekolah,daring keluyur mending sekolah
302,saya kurang setuju pak karena siapa saja bisa saja membawa virus dan kami juga belum mendapat vaksin ,negatif,saya kurang setuju pak karena siapa saja bisa saja membawa virus dan kami juga belum mendapat vaksin ,"['saya', 'kurang', 'setuju', 'pak', 'karena', 'siapa', 'saja', 'bisa', 'saja', 'membawa', 'virus', 'dan', 'kami', 'juga', 'belum', 'mendapat', 'vaksin', '']",setuju membawa virus vaksin ,tuju bawa virus vaksin
303,setuju gua dari pada dirumah pinter kaga gblok iya mending masuk ka percuma dong gua bayar spp tapi gak pernah masuk,positif,setuju gua dari pada dirumah pinter kaga gblok iya mending masuk ka percuma dong gua bayar spp tapi gak pernah masuk,"['setuju', 'gua', 'dari', 'pada', 'dirumah', 'pinter', 'kaga', 'gblok', 'iya', 'mending', 'masuk', 'ka', 'percuma', 'dong', 'gua', 'bayar', 'spp', 'tapi', 'gak', 'pernah', 'masuk']",setuju gua dirumah pinter kaga gblok iya mending masuk ka gua bayar spp gak masuk,tuju gua rumah pinter kaga gblok iya mending masuk ka gua bayar spp gak masuk
304,bosen di rumah terus kata anak sy pak cuma pegang hp tiap hari main tik tokan ,positif,bosen di rumah terus kata anak sy pak cuma pegang hp tiap hari main tik tokan ,"['bosen', 'di', 'rumah', 'terus', 'kata', 'anak', 'sy', 'pak', 'cuma', 'pegang', 'hp', 'tiap', 'hari', 'main', 'tik', 'tokan', '']",bosen rumah anak sy pegang hp main tik tokan ,bosen rumah anak sy pegang hp main tik tok
306,jangan sekolahh jangan sekolahh jangan sekolah jangan sekolah jangan sekolah sampai 2022,negatif,jangan sekolahh jangan sekolahh jangan sekolah jangan sekolah jangan sekolah sampai 2022,"['jangan', 'sekolahh', 'jangan', 'sekolahh', 'jangan', 'sekolah', 'jangan', 'sekolah', 'jangan', 'sekolah', 'sampai', '2022']",sekolahh sekolahh sekolah sekolah sekolah 2022,sekolahh sekolahh sekolah sekolah sekolah 2022
307,iya pak kasian anak sekolah ,positif,iya pak kasian anak sekolah ,"['iya', 'pak', 'kasian', 'anak', 'sekolah', '']",iya kasian anak sekolah ,iya kasi anak sekolah
308,mudah mudahan semua wali murid orang tua siswa tidak mengijinkan anaknya belajar tatap muka sbb ini yg saya takutkan yaitu takut sekolah kbm tatap muka lagi sedih dan sangat sedih lagi enak2nya rebahan ,negatif,mudah mudahan semua wali murid orang tua siswa tidak mengijinkan anaknya belajar tatap muka sbb ini yg saya takutkan yaitu takut sekolah kbm tatap muka lagi sedih dan sangat sedih lagi enak2nya rebahan ,"['mudah', 'mudahan', 'semua', 'wali', 'murid', 'orang', 'tua', 'siswa', 'tidak', 'mengijinkan', 'anaknya', 'belajar', 'tatap', 'muka', 'sbb', 'ini', 'yg', 'saya', 'takutkan', 'yaitu', 'takut', 'sekolah', 'kbm', 'tatap', 'muka', 'lagi', 'sedih', 'dan', 'sangat', 'sedih', 'lagi', 'enak2nya', 'rebahan', '']",mudah mudahan wali murid orang tua siswa mengijinkan anaknya belajar tatap muka sbb yg takutkan takut sekolah kbm tatap muka sedih sedih enak2nya rebahan ,mudah mudah wali murid orang tua siswa mengijinkan anak ajar tatap muka sbb yg takut takut sekolah kbm tatap muka sedih sedih enak2nya rebah
312,yes,positif,yes,['yes'],yes,yes
313,semoga sekolah di buka aku setujuh ,positif,semoga sekolah di buka aku setujuh ,"['semoga', 'sekolah', 'di', 'buka', 'aku', 'setujuh', '']",semoga sekolah buka setujuh ,moga sekolah buka tujuh
314,mending jangan dulu pak liat dulu negara2 maju di eropa kalo mereka sudah buka sekolah baru kita buka juga ,negatif,mending jangan dulu pak liat dulu negara2 maju di eropa kalo mereka sudah buka sekolah baru kita buka juga ,"['mending', 'jangan', 'dulu', 'pak', 'liat', 'dulu', 'negara2', 'maju', 'di', 'eropa', 'kalo', 'mereka', 'sudah', 'buka', 'sekolah', 'baru', 'kita', 'buka', 'juga', '']",mending liat negara2 maju eropa kalo buka sekolah buka ,mending liat negara2 maju eropa kalo buka sekolah buka
315,sekolah temptku mengajar dah tatap muka 2 bulan alhamdullilah aman,positif,sekolah temptku mengajar dah tatap muka 2 bulan alhamdullilah aman,"['sekolah', 'temptku', 'mengajar', 'dah', 'tatap', 'muka', '2', 'bulan', 'alhamdullilah', 'aman']",sekolah temptku mengajar dah tatap muka 2 alhamdullilah aman,sekolah temptku ajar dah tatap muka 2 alhamdullilah aman
318,aku tidak siap sekolah aku nyaman dirumah ,negatif,aku tidak siap sekolah aku nyaman dirumah ,"['aku', 'tidak', 'siap', 'sekolah', 'aku', 'nyaman', 'dirumah', '']",sekolah nyaman dirumah ,sekolah nyaman rumah
319,hidup sekolah tatap muka ke siksa bro belajar dirumah tuh ditambah masa sma ku hanya dirumah ajh,positif,hidup sekolah tatap muka ke siksa bro belajar dirumah tuh ditambah masa sma ku hanya dirumah ajh,"['hidup', 'sekolah', 'tatap', 'muka', 'ke', 'siksa', 'bro', 'belajar', 'dirumah', 'tuh', 'ditambah', 'masa', 'sma', 'ku', 'hanya', 'dirumah', 'ajh']",hidup sekolah tatap muka siksa bro belajar dirumah tuh ditambah sma ku dirumah ajh,hidup sekolah tatap muka siksa bro ajar rumah tuh tambah sma ku rumah ajh
322, siap pak guru saya akan dirumah,negatif, siap pak guru saya akan dirumah,"['', 'siap', 'pak', 'guru', 'saya', 'akan', 'dirumah']", guru dirumah,guru rumah
323,nyaman di rumahhh,negatif,nyaman di rumahhh,"['nyaman', 'di', 'rumahhh']",nyaman rumahhh,nyaman rumahhh
324, nb bn nyaman karna liat buku sama google pas ujian v,negatif, nb bn nyaman karna liat buku sama google pas ujian v,"['', 'nb', 'bn', 'nyaman', 'karna', 'liat', 'buku', 'sama', 'google', 'pas', 'ujian', 'v']", nb bn nyaman karna liat buku google pas ujian v,nb bn nyaman karna liat buku google pas uji v
